Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time,Genre
Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now,Jay Shetty,4.9,313.0,10080.0,,,NONE
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,4.6,3658.0,615.0,,,NONE
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4,20174.0,10378.0,,,NONE
Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,4.6,4614.0,888.0,,,NONE
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6,4302.0,1005.0,,,NONE
Extraordinary Leadership,Robin Sharma,4.1,179.0,0.0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",1 hour and 6 minutes,"Leadership, Business Careers"
Sapiens,Yuval Noah Harari,4.6,19994.0,1093.0,,,NONE
The Intelligent Investor Rev Ed.,Benjamin Graham,4.4,9253.0,18290.0,,,NONE
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,21936.0,837.0,,,NONE
The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,4.4,5082.0,8735.0,,,NONE
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,3.6,43.0,0.0,"UTV founder and pioneer of the media industry Ronnie Screwvala is one of India’s most successful first-generation entrepreneurs. An avid philanthropist, he has penned Dream with Your Eyes Open: An Entrepreneurial Journey as one of the most inspiring entrepreneurial self-help books. Pictured relaxed and content on the cover page of the book, Screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.  ",7 hours and 19 minutes,"Entrepreneurship, Small Businesses, Business Management"
Influence: The Psychology of Persuasion,Robert B. Cialdini,4.4,3766.0,12356.0,,,NONE
The Sandman,Neil Gaiman,5.0,1.0,1171.0,"Please note: This content is not for kids. It is for mature audiences only. Just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. Discretion is advised. ",10 hours and 54 minutes,"Epic Fantasy, Dark Fantasy, Fantasy"
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,28099.0,10378.0,,,NONE
How to Win Friends and Influence People,Dale Carnegie,4.5,20872.0,668.0,,,NONE
"Thinking, Fast and Slow",Daniel Kahneman,4.4,9774.0,1093.0,,,NONE
Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,5.0,6.0,3037.0,"Now updated to include Chapter Name Information, so you can easily find your favourite story or novel",71 hours and 57 minutes,"Private Investigator Mysteries, Crime"
Becoming,Michelle Obama,4.6,13848.0,1093.0,,,NONE
Just Do It: The Nike Spirit in the Corporate World,Donald Katz,4.0,37.0,0.0,,,NONE
The Warren Buffett Way: 3rd Edition,Robert Hagstrom,4.2,72.0,1005.0,"Warren Buffett remains one of the most sought-after and watched figures in business today. He has become a billionaire and investment sage by buying chunks of companies and holding onto them, managing them as businesses, and eventually reaping huge profits for himself and investors in Berkshire Hathaway. The first two editions of The Warren Buffett Way gave investors their first in-depth look at the innovative investment and business strategies behind the spectacular success of living legend Warren E. Buffett. Tracing Warren Buffett's career from the beginning, Hagstrom told listeners exactly how, starting with an initial investment of only $100 Buffett built a business empire and has an estimated net worth of $44 billion. The Third Edition of The Warren Buffett Way will focus on the timeless principles and strategies behind Buffett's extraordinary investment success. There will be new chapters on the important distinctions between investment and trading and an examination of the most successful disciples of Warren Buffett. Some less important material will be deleted and the overall focus will be to create an edition that will stand the test of time, distilling Buffett's success formula in a way that will provide value to listeners for decades to come.",10 hours and 31 minutes,"Business Careers, Biographies of Business Leaders, Personal Finance"
21 Lessons for the 21st Century,Yuval Noah Harari,4.4,2810.0,1093.0,,,NONE
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,4.6,949.0,10378.0,,,NONE
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,4.4,419.0,668.0,"We work hard to earn our money. But regardless of how much we earn, the money worry never goes away. Bills, rent, EMIs, medical costs, vacations, kids' education and, somewhere at the back of the head, the niggling thought about being under-prepared for our own retirement. ",5 hours and 56 minutes,"Personal Finance, Business & Economics, Personal Development & Self-Help"
Elon Musk,Ashlee Vance,4.5,6456.0,888.0,,,NONE
The Monk Who Sold His Ferrari,Robin Sharma,4.6,7573.0,351.0,,,NONE
The Power of Your Subconscious Mind,Joseph Murphy,4.5,18330.0,99.0,,,NONE
Raavan: Enemy of Aryavarta,Amish Tripathi,4.5,4477.0,836.0,,,NONE
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.5,6702.0,888.0,,,NONE
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,11213.0,836.0,,,NONE
Zero to One,Peter Thiel,4.4,5306.0,615.0,,,NONE
